account_id,account_name,plan_tier,seats,churn_probability,risk_level,total_usage,total_errors,ticket_count,avg_satisfaction_score,top_signal,recommended_action
A-dcc2f0,Company_309,Basic,15,0.695,High Risk,833,26,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-726cfa,Company_82,Pro,11,0.686,High Risk,993,45,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-4c38bc,Company_55,Basic,36,0.678,High Risk,818,27,3.0,3.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-cab532,Company_218,Pro,11,0.671,High Risk,1005,47,1.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-157070,Company_85,Pro,16,0.665,High Risk,696,26,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-a6d261,Company_303,Pro,9,0.664,High Risk,627,29,4.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-417d2f,Company_285,Pro,4,0.66,High Risk,722,31,6.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-751c58,Company_393,Basic,15,0.655,High Risk,574,12,5.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-5b4ebb,Company_69,Basic,21,0.653,High Risk,692,25,5.0,4.75,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-039727,Company_107,Pro,25,0.643,High Risk,768,32,0.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e6afc1,Company_346,Pro,1,0.641,High Risk,679,30,0.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-977ca0,Company_232,Basic,6,0.64,High Risk,893,46,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-592832,Company_10,Basic,18,0.639,High Risk,1053,55,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-a8d89d,Company_326,Pro,13,0.639,High Risk,551,26,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-bad8c1,Company_34,Basic,7,0.634,High Risk,385,11,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-2bc93d,Company_43,Basic,14,0.63,High Risk,666,31,2.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-922109,Company_243,Pro,3,0.63,High Risk,819,34,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-05d3b3,Company_213,Basic,9,0.623,High Risk,642,22,6.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e7a1e2,Company_295,Enterprise,3,0.621,High Risk,703,36,1.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-9f0b68,Company_489,Basic,10,0.621,High Risk,709,33,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ac9111,Company_487,Pro,21,0.617,High Risk,808,46,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-0f3e88,Company_428,Basic,7,0.617,High Risk,598,28,3.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-029f69,Company_129,Basic,3,0.614,High Risk,789,42,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-2d4502,Company_45,Basic,7,0.614,High Risk,465,19,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7df7a7,Company_125,Basic,7,0.614,High Risk,922,47,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-8b25f2,Company_96,Pro,6,0.613,High Risk,565,20,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-b7ef83,Company_474,Pro,1,0.612,High Risk,738,39,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-b7b7b7,Company_338,Basic,24,0.61,High Risk,571,26,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-6dee43,Company_478,Basic,3,0.61,High Risk,461,11,5.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-a33200,Company_352,Basic,29,0.61,High Risk,517,26,3.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e89151,Company_234,Pro,8,0.61,High Risk,601,29,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-cb5333,Company_370,Pro,33,0.609,High Risk,796,34,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c16cf7,Company_377,Pro,13,0.608,High Risk,577,26,3.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-6c093d,Company_12,Basic,7,0.606,High Risk,670,30,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-db5e9e,Company_442,Basic,4,0.605,High Risk,586,27,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-462d45,Company_13,Enterprise,11,0.605,High Risk,642,26,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-8145a0,Company_33,Basic,2,0.602,High Risk,693,27,6.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-9b9fe9,Company_71,Basic,5,0.601,High Risk,597,22,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-f19409,Company_105,Basic,23,0.6,High Risk,659,31,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-eb7c38,Company_47,Enterprise,5,0.599,Medium Risk,693,27,5.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-692f18,Company_195,Basic,5,0.599,Medium Risk,871,55,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-40de06,Company_369,Enterprise,28,0.598,Medium Risk,902,43,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e60f9d,Company_178,Basic,29,0.598,Medium Risk,629,24,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-c16101,Company_139,Basic,7,0.596,Medium Risk,561,29,4.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-4f18f0,Company_145,Pro,24,0.595,Medium Risk,544,25,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-4a267b,Company_451,Pro,25,0.594,Medium Risk,498,22,4.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-02cd81,Company_76,Basic,44,0.593,Medium Risk,684,28,3.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-f44180,Company_376,Pro,9,0.592,Medium Risk,520,22,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-054577,Company_455,Basic,2,0.592,Medium Risk,833,52,1.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-f92792,Company_67,Pro,1,0.59,Medium Risk,528,31,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e3bd71,Company_347,Basic,31,0.59,Medium Risk,638,27,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-075038,Company_397,Basic,17,0.589,Medium Risk,743,31,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3c1a3f,Company_224,Pro,1,0.588,Medium Risk,497,22,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0651a4,Company_255,Pro,16,0.588,Medium Risk,705,37,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-d40bf7,Company_11,Basic,59,0.588,Medium Risk,562,22,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7c83a1,Company_447,Pro,12,0.587,Medium Risk,632,23,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-08e34e,Company_32,Basic,14,0.586,Medium Risk,651,32,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-d77f4c,Company_470,Pro,4,0.586,Medium Risk,617,32,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-0a282f,Company_2,Basic,1,0.585,Medium Risk,821,48,3.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-1b7577,Company_39,Pro,4,0.585,Medium Risk,647,33,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-ccb686,Company_491,Basic,10,0.585,Medium Risk,721,46,1.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-aa9511,Company_203,Pro,23,0.584,Medium Risk,625,35,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-2922b6,Company_70,Basic,15,0.583,Medium Risk,393,13,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-eb1312,Company_322,Pro,25,0.583,Medium Risk,663,38,1.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
